"Name","MainWindowTitle"
"AgentService",""
"AggregatorHost",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity","zoya-ai-assistant - Antigravity - Implementation Plan"
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"Antigravity",""
"AppActions",""
"AppHelperCap",""
"ApplicationFrameHost","Settings"
"audiodg",""
"backgroundTaskHost",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome",""
"chrome","My Google AI Studio App - Google Chrome"
"chrome",""
"chromelauncher",""
"cmd",""
"cmd",""
"cmd",""
"conhost",""
"conhost",""
"conhost",""
"conhost",""
"conhost",""
"conhost",""
"conhost",""
"conhost",""
"CrossDeviceResume",""
"CrossDeviceService",""
"csrss",""
"csrss",""
"ctfmon",""
"DiagsCap",""
"dllhost",""
"dwm",""
"esbuild",""
"esif_uf",""
"explorer",""
"explorer",""
"explorer",""
"explorer",""
"explorer",""
"explorer",""
"explorer",""
"FileCoAuth",""
"FMService64",""
"fontdrvhost",""
"fontdrvhost",""
"HotKeyServiceUWP",""
"HPAudioAnalytics",""
"HPStatusAlerts",""
"hpwuschd2",""
"httpd",""
"httpd",""
"ibtsiva",""
"Idle",""
"igfxCUIService",""
"igfxEM",""
"IntelCpHDCPSvc",""
"IntelCpHeciSvc",""
"jhi_service",""
"language_server_windows_x64",""
"language_server_windows_x64",""
"LanWlanWwanSwitchingServiceUWP",""
"LsaIso",""
"lsass",""
"Memory Compression",""
"MpDefenderCoreService",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"msedgewebview2",""
"MsMpEng",""
"NetworkCap",""
"NgcIso",""
"NisSrv",""
"node",""
"node",""
"node",""
"node",""
"ollama",""
"ollama app",""
"OneApp.IGCC.WinService",""
"OneDrive",""
"OneDrive.Sync.Service",""
"OpenConsole",""
"pg_ctl",""
"PhoneExperienceHost",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"postgres",""
"powershell",""
"powershell",""
"powershell",""
"powershell",""
"powershell",""
"powershell",""
"PresentationFontCache",""
"PushNotificationsLongRunningTask",""
"Registry",""
"RtkAudUService64",""
"RtkAudUService64",""
"RtkAudUService64",""
"RuntimeBroker",""
"RuntimeBroker",""
"RuntimeBroker",""
"RuntimeBroker",""
"RuntimeBroker",""
"SchedulerService",""
"SearchHost",""
"SearchIndexer",""
"SearchProtocolHost",""
"SECOCL64",""
"SECOMN64",""
"Secure System",""
"SecurityHealthService",""
"SecurityHealthSystray",""
"services",""
"ShellExperienceHost",""
"ShellHost",""
"sihost",""
"smss",""
"spoolsv",""
"StartMenuExperienceHost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"svchost",""
"SynTPEnh",""
"SynTPEnhService",""
"SysInfoCap",""
"System",""
"SystemSettings","Settings"
"taskhostw",""
"TbtP2pShortcutService",""
"TextInputHost","Windows Input Experience"
"ThunderboltService",""
"TouchpointAnalyticsClientService",""
"unsecapp",""
"UserOOBEBroker",""
"vmcompute",""
"vmms",""
"WhatsApp.Root",""
"Widgets",""
"WidgetService",""
"WindowsTerminal","C:\WINDOWS\system32\cmd.exe"
"wininit",""
"winlogon",""
"wlanext",""
"WmiPrvSE",""
"WmiPrvSE",""
"WMIRegistrationService",""
"wpscloudsvr",""
"WUDFHost",""
"WUDFHost",""
"WUDFHost",""
